md_file,acordao,relatorio,voto
./md_files/ELEGIS-1716568755.md,True,True,True
./md_files/ELEGIS-1724074692.md,True,True,True
./md_files/ELEGIS-1714518381391.md,True,True,True
./md_files/ELEGIS-1710955282629.md,True,True,True
./md_files/ELEGIS-1715594497.md,True,True,True
./md_files/ELEGIS-1720614773.md,True,True,False
./md_files/ELEGIS-1721919229.md,True,True,False
./md_files/ELEGIS-1724246146.md,False,True,True
./md_files/ELEGIS-1724937144.md,True,True,False
./md_files/ELEGIS-1721919459.md,True,True,False
./md_files/ELEGIS-1710956280612.md,True,True,True
./md_files/ELEGIS-1720614267.md,True,True,False
./md_files/ELEGIS-1717594535.md,True,True,True
./md_files/ELEGIS-1720096992.md,True,True,True
./md_files/ELEGIS-1716996011.md,True,True,False
./md_files/ELEGIS-1715353074.md,True,True,True
./md_files/ELEGIS-1721316552.md,True,True,True
./md_files/ELEGIS-1712517483169.md,True,True,True
./md_files/ELEGIS-1724245818.md,True,True,True
./md_files/ELEGIS-1720098319.md,True,True,True
./md_files/ELEGIS-1720095884.md,True,True,True
./md_files/ELEGIS-1720613715.md,True,True,False
./md_files/ELEGIS-1720614836.md,True,True,False
./md_files/ELEGIS-1709596583276.md,True,True,True
./md_files/ELEGIS-1719940414.md,True,True,True
./md_files/ELEGIS-1721926067.md,True,True,True
./md_files/ELEGIS-1712510456624.md,True,True,True
./md_files/ELEGIS-1717594300.md,True,True,True
./md_files/ELEGIS-1710972377386.md,True,True,True
./md_files/ELEGIS-1721922844.md,True,True,False
./md_files/ELEGIS-1712624512897.md,True,True,True
./md_files/ELEGIS-1712509058466.md,False,False,False
./md_files/ELEGIS-1715594750.md,True,True,True
./md_files/ELEGIS-1725295218.md,True,False,False
./md_files/ELEGIS-1720611537.md,True,True,False
./md_files/ELEGIS-1719941663.md,True,True,False
./md_files/ELEGIS-1718990760.md,True,True,True
./md_files/ELEGIS-1724687606.md,True,True,True
./md_files/ELEGIS-1721926161.md,True,True,True
./md_files/ELEGIS-1721316991.md,True,True,True
./md_files/ELEGIS-1708651055013.md,True,True,True
./md_files/ELEGIS-1715176348.md,True,True,True
./md_files/ELEGIS-1712518431226.md,True,True,True
./md_files/ELEGIS-1715177509.md,False,False,False
./md_files/ELEGIS-1724686444.md,True,True,True
./md_files/ELEGIS-1721919998.md,True,True,False
./md_files/ELEGIS-1724936486.md,True,True,True
./md_files/ELEGIS-1720614164.md,True,True,False
./md_files/ELEGIS-1712509918066.md,True,True,True
./md_files/ELEGIS-1724074344.md,True,True,True
./md_files/ELEGIS-1719900692.md,True,True,False
./md_files/ELEGIS-1723567446.md,True,True,True
./md_files/ELEGIS-1721316752.md,True,True,True
./md_files/ELEGIS-1724936929.md,True,True,True
./md_files/ELEGIS-1713813771651.md,True,True,True
./md_files/ELEGIS-1721922044.md,True,True,False
./md_files/ELEGIS-1724936050.md,True,True,False
./md_files/ELEGIS-1715594171.md,True,True,True
./md_files/ELEGIS-1708622608976.md,True,True,True
./md_files/ELEGIS-1719940997.md,True,True,False
./md_files/ELEGIS-1714952962719.md,True,True,True
./md_files/ELEGIS-1724246095.md,True,True,True
./md_files/ELEGIS-1721317095.md,True,True,True
./md_files/ELEGIS-1724075551.md,False,False,False
./md_files/ELEGIS-1710974623599.md,True,True,True
./md_files/ELEGIS-1715353657.md,True,True,True
./md_files/ELEGIS-1724935937.md,True,True,False
./md_files/ELEGIS-1715593540.md,True,True,True
./md_files/ELEGIS-1713997324385.md,True,True,True
./md_files/ELEGIS-1720096914.md,True,True,True
./md_files/ELEGIS-1712703956584.md,True,True,True
./md_files/ELEGIS-1712788167532.md,True,True,True
./md_files/ELEGIS-1708651769519.md,True,True,True
./md_files/ELEGIS-1720446687.md,True,True,True
./md_files/ELEGIS-1723567378.md,True,True,True
./md_files/ELEGIS-1715594595.md,True,True,True
./md_files/ELEGIS-1721922568.md,True,True,False
./md_files/ELEGIS-1715353002.md,True,True,True
./md_files/ELEGIS-1712624635489.md,True,True,True
./md_files/ELEGIS-1721920344.md,True,True,False
./md_files/ELEGIS-1718992630.md,True,True,True
./md_files/ELEGIS-1708650654492.md,True,True,True
./md_files/ELEGIS-1708627113109.md,True,True,True
./md_files/ELEGIS-1715594546.md,True,True,True
./md_files/ELEGIS-1708650738496.md,True,True,True
./md_files/ELEGIS-1712517831340.md,True,True,True
./md_files/ELEGIS-1723570115.md,True,True,True
./md_files/ELEGIS-1719940489.md,True,True,True
./md_files/ELEGIS-1716293236.md,True,True,False
./md_files/ELEGIS-1721926248.md,True,True,True
./md_files/ELEGIS-1724249067.md,True,True,True
./md_files/ELEGIS-1721924338.md,True,True,True
./md_files/ELEGIS-1723569893.md,True,True,True
./md_files/ELEGIS-1718964476.md,True,True,True
./md_files/ELEGIS-1715593588.md,True,True,True
./md_files/ELEGIS-1721926112.md,True,True,True
./md_files/ELEGIS-1721924531.md,True,True,True
./md_files/ELEGIS-1720611633.md,True,True,False
./md_files/ELEGIS-1724677041.md,True,True,True
./md_files/ELEGIS-1726046912.md,True,True,True
./md_files/ELEGIS-1720613185.md,True,True,False
./md_files/ELEGIS-1708627246913.md,True,True,True
./md_files/ELEGIS-1715354424.md,True,True,True
./md_files/ELEGIS-1708650694230.md,True,True,True
./md_files/ELEGIS-1720095922.md,True,True,True
./md_files/ELEGIS-1715352160.md,True,True,True
./md_files/ELEGIS-1710972333550.md,True,True,True
./md_files/ELEGIS-1708623283226.md,True,True,True
./md_files/ELEGIS-1724075645.md,False,False,False
./md_files/ELEGIS-1710974571418.md,True,True,True
./md_files/ELEGIS-1718989058.md,True,True,True
./md_files/ELEGIS-1708650325283.md,True,True,True
./md_files/ELEGIS-1712704326674.md,True,True,True
./md_files/ELEGIS-1721925837.md,True,True,True
./md_files/ELEGIS-1720614725.md,True,True,False
./md_files/ELEGIS-1713813896436.md,True,True,False
./md_files/ELEGIS-1721926295.md,True,True,True
./md_files/ELEGIS-1712510088790.md,True,True,True
./md_files/ELEGIS-1720612538.md,True,True,False
./md_files/ELEGIS-1724252086.md,True,True,True
./md_files/ELEGIS-1721926025.md,True,True,True
./md_files/ELEGIS-1720097146.md,True,True,True
./md_files/ELEGIS-1724075825.md,False,False,False
./md_files/ELEGIS-1712517284731.md,True,True,True
./md_files/ELEGIS-1719942810.md,True,True,False
./md_files/ELEGIS-1721919771.md,True,True,False
./md_files/ELEGIS-1717594256.md,True,True,True
./md_files/ELEGIS-1712704201903.md,True,True,True
./md_files/ELEGIS-1717504111.md,True,True,True
./md_files/ELEGIS-1714952685646.md,True,True,True
./md_files/ELEGIS-1709596837745.md,True,True,True
./md_files/ELEGIS-1717595228.md,True,True,True
./md_files/ELEGIS-1720446480.md,True,True,True
./md_files/ELEGIS-1713813853950.md,True,True,False
./md_files/ELEGIS-1712517917664.md,True,True,True
./md_files/ELEGIS-1708650521738.md,True,True,True
./md_files/ELEGIS-1721924489.md,True,True,True
./md_files/ELEGIS-1721919717.md,True,True,False
./md_files/ELEGIS-1715594383.md,True,True,True
./md_files/ELEGIS-1712704120414.md,True,True,True
./md_files/ELEGIS-1721919517.md,True,True,False
./md_files/ELEGIS-1713997252845.md,True,True,True
./md_files/ELEGIS-1721923126.md,True,True,False
./md_files/ELEGIS-1720615179.md,True,True,False
./md_files/ELEGIS-1720612617.md,True,True,False
./md_files/ELEGIS-1721919671.md,True,True,False
./md_files/ELEGIS-1706994357655.md,True,True,True
./md_files/ELEGIS-1709596792088.md,True,True,True
./md_files/ELEGIS-1713997725522.md,True,True,True
./md_files/ELEGIS-1722340007.md,True,True,False
./md_files/ELEGIS-1712518157378.md,True,True,True
./md_files/ELEGIS-1721920441.md,True,True,False
./md_files/ELEGIS-1712509977956.md,True,True,True
./md_files/ELEGIS-1721923881.md,True,True,False
./md_files/ELEGIS-1717594768.md,True,True,True
./md_files/ELEGIS-1708654435196.md,True,True,True
./md_files/ELEGIS-1720364054.md,True,True,True
./md_files/ELEGIS-1724936531.md,True,True,False
./md_files/ELEGIS-1721316941.md,True,True,True
./md_files/ELEGIS-1720611706.md,True,True,False
./md_files/ELEGIS-1713997167449.md,True,True,True
./md_files/ELEGIS-1710974529533.md,True,True,True
./md_files/ELEGIS-1723569991.md,True,True,True
./md_files/ELEGIS-1721919048.md,True,True,False
./md_files/ELEGIS-1708650404646.md,True,True,True
./md_files/ELEGIS-1706994198953.md,False,False,False
./md_files/ELEGIS-1724936972.md,True,True,True
./md_files/ELEGIS-1711574410859.md,False,False,False
./md_files/ELEGIS-1721921694.md,True,True,False
./md_files/ELEGIS-1710901220031.md,True,True,True
./md_files/ELEGIS-1715176459.md,True,True,True
./md_files/ELEGIS-1721925747.md,True,True,True
./md_files/ELEGIS-1724937060.md,True,True,False
./md_files/ELEGIS-1710955359865.md,True,True,True
./md_files/ELEGIS-1713911863595.md,True,True,True
./md_files/ELEGIS-1717594393.md,True,True,True
./md_files/ELEGIS-1708626337454.md,True,True,True
./md_files/ELEGIS-1713997551402.md,True,True,True
./md_files/ELEGIS-1721919281.md,True,True,False
./md_files/ELEGIS-1721923258.md,True,True,False
./md_files/ELEGIS-1713813632061.md,True,True,True
./md_files/ELEGIS-1724687562.md,True,True,True
./md_files/ELEGIS-1708651101205.md,True,True,True
./md_files/ELEGIS-1721925411.md,True,True,True
./md_files/ELEGIS-1712509828506.md,True,True,True
